"carat","price","cut"
0.36,789,"Very Good"
0.41,1076,"Premium"
0.51,1709,"Ideal"
0.73,2485,"Very Good"
0.4,1080,"Very Good"
0.31,789,"Ideal"
0.41,1431,"Premium"
0.9,4455,"Premium"
0.24,521,"Very Good"
1.5,9104,"Ideal"
1.01,5067,"Very Good"
1,8138,"Very Good"
0.35,906,"Ideal"
1.06,4120,"Ideal"
0.71,3006,"Premium"
0.25,438,"Ideal"
2,5051,"Premium"
1.01,4498,"Very Good"
0.51,1129,"Ideal"
1.02,7324,"Ideal"
1.1,4967,"Premium"
0.36,631,"Very Good"
1.07,2260,"Premium"
0.7,2460,"Ideal"
1.02,6505,"Premium"
0.3,421,"Very Good"
0.43,890,"Very Good"
1.5,11688,"Very Good"
0.3,863,"Ideal"
0.3,857,"Ideal"
0.4,1053,"Very Good"
0.26,545,"Very Good"
0.31,942,"Premium"
2.07,13786,"Premium"
0.31,583,"Very Good"
0.24,378,"Good"
0.55,1246,"Premium"
0.55,1767,"Ideal"
0.71,2606,"Ideal"
0.32,918,"Ideal"
1.05,5457,"Ideal"
0.52,2092,"Very Good"
1.5,9996,"Very Good"
0.41,1582,"Premium"
0.78,3258,"Very Good"
0.33,965,"Ideal"
1.01,3597,"Fair"
0.3,655,"Ideal"
0.91,3379,"Premium"
0.54,1361,"Premium"
0.32,480,"Premium"
0.7,1953,"Ideal"
0.44,850,"Very Good"
0.33,743,"Premium"
1.03,4679,"Very Good"
1.1,4312,"Premium"
0.41,659,"Good"
1,7002,"Very Good"
1,4620,"Premium"
1.5,13232,"Good"
0.7,2592,"Very Good"
0.39,821,"Ideal"
0.53,1607,"Ideal"
0.3,394,"Very Good"
0.52,1822,"Ideal"
1.51,14709,"Good"
1.54,8301,"Very Good"
0.52,1059,"Very Good"
0.31,907,"Ideal"
1.2,9604,"Ideal"
0.3,447,"Very Good"
0.51,1716,"Premium"
0.71,2823,"Ideal"
1.02,8011,"Ideal"
1,3536,"Good"
0.9,4838,"Premium"
0.71,2326,"Very Good"
0.33,666,"Premium"
0.32,814,"Ideal"
0.35,743,"Ideal"
1.71,14190,"Premium"
0.32,814,"Ideal"
0.34,880,"Ideal"
0.58,1227,"Ideal"
0.52,1828,"Premium"
0.32,936,"Ideal"
0.5,1701,"Good"
1.65,17729,"Ideal"
2.26,13095,"Very Good"
0.3,709,"Premium"
2.18,12377,"Very Good"
0.61,2556,"Ideal"
0.5,1138,"Good"
1,4586,"Premium"
0.9,4580,"Very Good"
1.22,6012,"Premium"
0.55,2064,"Ideal"
1.01,5260,"Very Good"
0.31,544,"Very Good"
0.51,1660,"Ideal"
1.41,8212,"Good"
0.9,3534,"Good"
0.32,477,"Very Good"
0.55,1643,"Ideal"
0.42,1087,"Ideal"
0.92,3146,"Very Good"
0.31,802,"Very Good"
0.23,505,"Very Good"
0.76,3367,"Very Good"
0.57,1554,"Ideal"
1.2,5451,"Very Good"
0.27,577,"Ideal"
0.58,1701,"Fair"
0.3,658,"Premium"
0.3,878,"Very Good"
1.34,17663,"Premium"
0.36,1028,"Ideal"
1.12,8592,"Ideal"
1.05,3822,"Premium"
0.91,4123,"Very Good"
0.53,1783,"Ideal"
1.76,9314,"Fair"
0.35,551,"Very Good"
2.01,13228,"Premium"
0.31,593,"Very Good"
0.34,995,"Ideal"
1.24,3528,"Premium"
0.32,990,"Premium"
0.7,1904,"Very Good"
1,3192,"Fair"
0.43,951,"Ideal"
1.38,7836,"Very Good"
0.5,2183,"Good"
1.04,8225,"Very Good"
0.77,2642,"Ideal"
0.32,580,"Premium"
1.01,5475,"Fair"
1.07,5304,"Very Good"
0.36,525,"Ideal"
0.27,439,"Very Good"
0.3,438,"Ideal"
1,4469,"Good"
0.3,393,"Very Good"
2.11,7019,"Fair"
1.52,15959,"Ideal"
0.3,524,"Ideal"
0.43,1304,"Ideal"
1,7556,"Good"
2.61,18756,"Ideal"
1.51,15581,"Premium"
1.21,5604,"Very Good"
0.33,781,"Ideal"
1.04,6166,"Very Good"
0.27,544,"Very Good"
0.9,3084,"Fair"
0.3,878,"Premium"
0.3,526,"Good"
0.52,2164,"Ideal"
0.51,1590,"Good"
0.27,591,"Very Good"
0.31,732,"Ideal"
0.7,2411,"Very Good"
0.67,2309,"Good"
1.02,5666,"Ideal"
0.31,816,"Very Good"
1,6115,"Premium"
0.28,487,"Very Good"
0.4,798,"Good"
0.35,906,"Premium"
0.37,957,"Premium"
0.42,1031,"Ideal"
1.01,3620,"Premium"
1.03,9881,"Ideal"
0.4,1088,"Premium"
0.39,1036,"Ideal"
0.58,1641,"Ideal"
0.81,2403,"Premium"
0.37,746,"Very Good"
1.01,5759,"Very Good"
1.19,6335,"Ideal"
2.01,15145,"Very Good"
2.01,12690,"Premium"
0.67,2577,"Ideal"
0.9,4523,"Very Good"
0.53,1727,"Very Good"
1,5174,"Premium"
0.41,999,"Premium"
1.08,4906,"Very Good"
0.31,462,"Premium"
0.26,448,"Ideal"
0.41,827,"Good"
1.27,5154,"Ideal"
2,11792,"Very Good"
0.41,876,"Premium"
0.4,850,"Very Good"
1.01,4072,"Fair"
0.4,1050,"Ideal"
0.37,774,"Very Good"
2.08,15321,"Premium"
0.5,1197,"Very Good"
1.13,4689,"Premium"
0.51,1781,"Ideal"
1.51,7651,"Ideal"
0.51,1265,"Premium"
0.3,601,"Ideal"
0.3,447,"Good"
1.5,7258,"Premium"
0.5,1838,"Premium"
0.32,561,"Premium"
1.08,4130,"Ideal"
0.3,742,"Ideal"
1.51,8214,"Very Good"
1.01,4497,"Premium"
1.04,6890,"Premium"
1.01,3874,"Premium"
1,5887,"Ideal"
0.28,604,"Very Good"
0.43,1113,"Premium"
0.51,1211,"Premium"
0.51,1974,"Ideal"
0.4,1240,"Ideal"
1.02,10710,"Very Good"
0.36,568,"Good"
0.7,1843,"Premium"
1.51,12831,"Premium"
0.31,734,"Premium"
1.41,7339,"Very Good"
0.3,863,"Ideal"
0.35,984,"Premium"
0.59,1265,"Premium"
0.51,1877,"Ideal"
0.3,450,"Very Good"
0.41,827,"Premium"
0.42,1087,"Premium"
1,3977,"Good"
1.2,10812,"Ideal"
0.52,1389,"Very Good"
0.5,1865,"Ideal"
0.32,602,"Very Good"
1.02,4558,"Ideal"
1.12,5291,"Ideal"
0.32,756,"Premium"
0.41,951,"Very Good"
1.01,4986,"Very Good"
0.4,798,"Good"
0.4,1074,"Ideal"
0.52,1319,"Ideal"
1.53,15217,"Premium"
1.01,7487,"Very Good"
0.41,861,"Premium"
0.37,469,"Ideal"
1.51,10628,"Good"
1,3690,"Good"
1.7,11322,"Premium"
1.11,6962,"Ideal"
1.5,11948,"Good"
1.15,4418,"Very Good"
0.9,3780,"Good"
1.01,4588,"Very Good"
0.53,1607,"Premium"
1.2,4838,"Premium"
0.34,880,"Premium"
0.33,579,"Very Good"
0.89,4127,"Ideal"
0.3,873,"Ideal"
1.17,4999,"Ideal"
0.39,875,"Very Good"
0.72,1944,"Premium"
0.51,1393,"Very Good"
1.71,12342,"Ideal"
0.56,2442,"Ideal"
0.55,2022,"Ideal"
0.71,2122,"Ideal"
1.09,6570,"Very Good"
1.04,8794,"Ideal"
1.01,3897,"Very Good"
0.57,1943,"Ideal"
1.26,9032,"Ideal"
1,4788,"Premium"
0.76,2418,"Very Good"
1.01,8971,"Ideal"
0.5,2283,"Ideal"
1.2,5699,"Premium"
0.43,1358,"Ideal"
2,15096,"Premium"
1.1,4354,"Premium"
1.13,6682,"Ideal"
0.71,2137,"Very Good"
0.38,809,"Ideal"
2.01,9725,"Ideal"
0.7,3265,"Premium"
1.01,9140,"Very Good"
0.42,926,"Premium"
0.41,705,"Very Good"
1.46,8683,"Premium"
0.3,499,"Ideal"
0.38,1200,"Ideal"
0.3,873,"Ideal"
0.3,542,"Ideal"
0.56,1253,"Ideal"
0.28,462,"Very Good"
1.01,4965,"Premium"
0.41,1099,"Ideal"
2.01,12369,"Good"
0.9,3681,"Very Good"
2.2,13512,"Ideal"
1.2,5310,"Good"
1.14,5809,"Premium"
1.07,6648,"Ideal"
0.54,1662,"Ideal"
0.7,3011,"Ideal"
0.3,956,"Premium"
1.53,8058,"Very Good"
0.34,537,"Premium"
0.96,4864,"Premium"
0.24,710,"Premium"
0.3,863,"Ideal"
0.71,2686,"Premium"
0.27,552,"Very Good"
0.54,1993,"Premium"
2.12,16151,"Very Good"
0.4,631,"Premium"
0.28,476,"Ideal"
0.78,2387,"Premium"
1.01,5294,"Fair"
0.71,2807,"Very Good"
1.01,6159,"Good"
0.7,2337,"Good"
0.31,891,"Ideal"
0.34,596,"Very Good"
1.5,9450,"Very Good"
1.51,10959,"Ideal"
0.91,4284,"Good"
0.5,1197,"Very Good"
1.01,4129,"Very Good"
1.18,5801,"Premium"
1,5351,"Very Good"
2.03,15095,"Premium"
1.06,4078,"Premium"
0.38,796,"Ideal"
2.01,16733,"Good"
0.7,2423,"Ideal"
0.41,1076,"Ideal"
0.33,939,"Ideal"
0.75,2545,"Very Good"
0.73,1905,"Premium"
0.7,2028,"Very Good"
0.44,1081,"Ideal"
0.72,3102,"Very Good"
0.83,7889,"Very Good"
1.01,4186,"Very Good"
0.3,844,"Premium"
0.32,393,"Ideal"
0.3,844,"Ideal"
1.22,7215,"Ideal"
0.4,484,"Ideal"
0.9,3975,"Very Good"
0.7,2537,"Very Good"
0.7,2381,"Premium"
1.07,6324,"Ideal"
1.02,5598,"Very Good"
0.9,3795,"Good"
0.97,4063,"Premium"
0.55,1941,"Very Good"
2.43,14975,"Fair"
0.59,2000,"Very Good"
0.9,3669,"Good"
1.19,7152,"Very Good"
0.43,716,"Ideal"
1.5,10164,"Ideal"
1.2,10367,"Ideal"
0.3,814,"Ideal"
1.02,3713,"Good"
1.31,5176,"Premium"
0.51,2111,"Ideal"
0.46,968,"Very Good"
0.54,1786,"Premium"
0.4,1238,"Ideal"
1.06,4987,"Ideal"
0.23,492,"Very Good"
1.05,4742,"Premium"
0.24,492,"Good"
0.33,575,"Very Good"
0.3,764,"Ideal"
1.01,6999,"Good"
1.51,7577,"Good"
0.31,698,"Premium"
0.43,993,"Ideal"
0.41,899,"Premium"
0.4,1008,"Very Good"
1.19,4498,"Premium"
0.5,2160,"Ideal"
1.51,12100,"Ideal"
0.52,1582,"Ideal"
0.72,2062,"Good"
1.76,13503,"Very Good"
0.72,2671,"Good"
1.15,5646,"Good"
1.7,18398,"Premium"
1.61,14341,"Ideal"
0.78,3420,"Very Good"
0.3,540,"Ideal"
0.91,3730,"Fair"
0.74,2760,"Ideal"
1.02,5956,"Premium"
1.03,6809,"Ideal"
1,3965,"Good"
0.72,3124,"Ideal"
0.7,2940,"Ideal"
1.53,6361,"Good"
0.35,767,"Very Good"
0.44,1073,"Premium"
0.76,2593,"Very Good"
0.25,563,"Fair"
0.51,2082,"Ideal"
1.1,6708,"Very Good"
2.01,16901,"Very Good"
0.5,1715,"Very Good"
0.59,1978,"Ideal"
1.93,13278,"Very Good"
0.34,626,"Very Good"
2.18,15850,"Ideal"
0.41,1295,"Ideal"
0.72,2746,"Ideal"
0.9,3662,"Premium"
1.05,4763,"Very Good"
0.5,1838,"Ideal"
0.34,765,"Very Good"
0.35,744,"Ideal"
0.31,502,"Ideal"
1.13,7815,"Very Good"
0.71,2352,"Ideal"
0.53,1753,"Premium"
0.32,954,"Premium"
2,16064,"Very Good"
1.5,9706,"Very Good"
0.39,628,"Ideal"
1.09,5131,"Very Good"
0.41,1431,"Ideal"
1.06,8093,"Ideal"
0.38,1140,"Premium"
0.54,1389,"Premium"
